Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
8.9600      -260021.259  -260035.383       14.124   291.4
8.9700      -260021.684  -260035.047       13.364   275.7
8.9800      -260021.668  -260035.474       13.806   284.8
8.9900      -260021.400  -260035.045       13.644   281.5
9.0000      -260021.868  -260036.121       14.253   294.1
9.0100      -260021.650  -260035.586       13.935   287.5
9.0200      -260021.846  -260035.650       13.804   284.8
9.0300      -260021.760  -260035.818       14.058   290.0
9.0400      -260021.930  -260036.022       14.092   290.7
9.0500      -260021.884  -260035.937       14.052   289.9
9.0600      -260021.008  -260035.984       14.976   309.0
9.0700      -260021.335  -260035.369       14.033   289.5
9.0800      -260021.502  -260035.361       13.859   285.9
9.0900      -260021.036  -260035.786       14.751   304.3
9.1000      -260020.990  -260035.976       14.986   309.2
9.1100      -260021.347  -260035.493       14.146   291.8
9.1200      -260021.463  -260036.132       14.670   302.6
9.1300      -260020.610  -260035.538       14.928   308.0
9.1400      -260020.607  -260035.184       14.578   300.7
9.1500      -260020.467  -260035.741       15.274   315.1
9.1600      -260021.000  -260036.332       15.332   316.3
9.1700      -260021.283  -260036.212       14.930   308.0
9.1800      -260021.219  -260036.237       15.018   309.8
9.1900      -260021.771  -260036.114       14.343   295.9
9.2000      -260021.747  -260035.796       14.049   289.8
9.2100      -260021.616  -260035.523       13.907   286.9
9.2200      -260021.241  -260035.110       13.869   286.1
9.2300      -260021.523  -260036.077       14.554   300.3
9.2400      -260021.248  -260036.498       15.250   314.6
9.2500      -260021.369  -260036.097       14.728   303.8
9.2600      -260021.565  -260035.485       13.919   287.2
9.2700      -260021.687  -260036.756       15.070   310.9
9.2800      -260021.875  -260036.978       15.103   311.6
9.2900      -260022.163  -260036.344       14.181   292.6
9.3000      -260021.657  -260036.014       14.357   296.2
9.3100      -260021.834  -260035.582       13.748   283.6
9.3200      -260021.992  -260035.879       13.886   286.5
9.3300      -260022.216  -260036.482       14.266   294.3
9.3400      -260021.552  -260035.888       14.336   295.8
9.3500      -260022.028  -260036.151       14.123   291.4
9.3600      -260022.277  -260036.295       14.018   289.2
9.3700      -260022.093  -260036.922       14.829   305.9
9.3800      -260021.924  -260036.561       14.637   302.0
9.3900      -260021.410  -260035.922       14.512   299.4
9.4000      -260020.706  -260036.581       15.875   327.5
9.4100      -260020.833  -260035.494       14.661   302.5
9.4200      -260020.837  -260035.891       15.053   310.6
9.4300      -260021.372  -260036.205       14.833   306.0
9.4400      -260021.544  -260036.116       14.572   300.6
9.4500      -260021.265  -260035.964       14.699   303.2
9.4600      -260021.565  -260036.566       15.001   309.5
9.4700      -260021.986  -260036.248       14.263   294.2
9.4800      -260021.522  -260036.957       15.435   318.4
9.4900      -260021.794  -260036.388       14.594   301.1
9.5000      -260021.370  -260036.825       15.455   318.8
9.5100      -260021.842  -260036.238       14.396   297.0
9.5200      -260022.017  -260037.162       15.145   312.4
9.5300      -260022.691  -260036.963       14.272   294.4
9.5400      -260022.762  -260037.254       14.492   299.0
9.5500      -260022.781  -260037.703       14.923   307.9
9.5600      -260023.172  -260037.273       14.101   290.9
9.5700      -260022.415  -260037.164       14.748   304.3
9.5800      -260022.070  -260037.154       15.085   311.2
9.5900      -260022.574  -260036.558       13.984   288.5
9.6000      -260021.785  -260036.006       14.221   293.4
9.6100      -260021.476  -260036.715       15.239   314.4
9.6200      -260021.584  -260036.256       14.671   302.7
9.6300      -260021.739  -260036.302       14.563   300.4
9.6400      -260021.485  -260036.004       14.519   299.5
9.6500      -260022.267  -260036.516       14.249   294.0
9.6600      -260022.061  -260035.913       13.852   285.8
9.6700      -260021.689  -260036.170       14.481   298.7
9.6800      -260022.156  -260036.541       14.385   296.8
9.6900      -260021.857  -260036.439       14.582   300.8
9.7000      -260022.160  -260036.396       14.237   293.7
9.7100      -260021.799  -260036.193       14.394   297.0
9.7200      -260022.206  -260035.907       13.701   282.7
9.7300      -260022.188  -260036.613       14.426   297.6
9.7400      -260022.250  -260036.380       14.130   291.5
9.7500      -260021.737  -260036.423       14.686   303.0
9.7600      -260021.519  -260036.819       15.300   315.7
9.7700      -260022.364  -260036.370       14.006   288.9
9.7800      -260022.452  -260036.552       14.100   290.9
9.7900      -260022.286  -260036.533       14.247   293.9
9.8000      -260022.773  -260036.755       13.982   288.4
9.8100      -260022.716  -260037.432       14.715   303.6
9.8200      -260022.866  -260037.532       14.667   302.6
9.8300      -260023.223  -260038.127       14.904   307.5
9.8400      -260023.292  -260037.204       13.913   287.0
9.8500      -260023.452  -260037.155       13.704   282.7
9.8600      -260024.419  -260038.623       14.204   293.0
9.8700      -260024.193  -260038.486       14.292   294.9
9.8800      -260023.656  -260037.490       13.834   285.4
9.8900      -260023.216  -260038.329       15.113   311.8
9.9000      -260023.884  -260038.042       14.158   292.1
9.9100      -260024.264  -260037.836       13.572   280.0
9.9200      -260024.434  -260038.591       14.156   292.0
9.9300      -260024.139  -260038.409       14.271   294.4
9.9400      -260023.936  -260037.568       13.632   281.2
9.9500      -260023.679  -260037.890       14.211   293.2
9.9600      -260023.008  -260037.562       14.554   300.2
9.9700      -260022.899  -260037.545       14.646   302.1
9.9800      -260023.470  -260037.498       14.028   289.4
9.9900      -260023.347  -260037.477       14.130   291.5
10.0000     -260023.190  -260038.054       14.864   306.7
10.0100     -260023.273  -260037.250       13.977   288.3
10.0200     -260023.440  -260037.366       13.926   287.3
10.0300     -260023.151  -260037.211       14.061   290.1
10.0400     -260023.109  -260037.381       14.273   294.4
10.0500     -260023.808  -260037.716       13.908   286.9
10.0600     -260023.301  -260038.221       14.920   307.8
10.0700     -260023.319  -260038.567       15.248   314.6
10.0800     -260023.129  -260036.865       13.735   283.4
10.0900     -260022.926  -260037.203       14.277   294.5
10.1000     -260022.946  -260037.472       14.526   299.7
10.1100     -260023.094  -260037.615       14.520   299.6
10.1200     -260023.187  -260037.552       14.365   296.4
10.1300     -260022.545  -260036.731       14.186   292.7
10.1400     -260022.854  -260036.948       14.094   290.8
10.1500     -260022.307  -260036.722       14.416   297.4
10.1600     -260022.564  -260037.227       14.663   302.5
10.1700     -260022.874  -260037.365       14.491   299.0
10.1800     -260023.023  -260037.679       14.656   302.4
10.1900     -260022.753  -260036.943       14.190   292.7
10.2000     -260023.535  -260036.547       13.012   268.4
10.2100     -260023.343  -260037.229       13.886   286.5
10.2200     -260023.390  -260037.519       14.129   291.5
10.2300     -260023.309  -260036.873       13.564   279.8
10.2400     -260023.110  -260036.728       13.618   281.0
10.2500     -260023.274  -260037.830       14.556   300.3
10.2600     -260023.943  -260037.741       13.798   284.7
10.2700     -260024.047  -260037.991       13.944   287.7
10.2800     -260024.014  -260037.685       13.671   282.0
10.2900     -260024.664  -260038.338       13.674   282.1
10.3000     -260024.462  -260038.121       13.659   281.8
10.3100     -260024.554  -260038.231       13.677   282.2
10.3200     -260023.973  -260038.545       14.573   300.6
10.3300     -260024.019  -260037.470       13.451   277.5
10.3400     -260024.734  -260038.703       13.969   288.2
10.3500     -260024.953  -260038.937       13.985   288.5
10.3600     -260024.642  -260038.969       14.327   295.6
10.3700     -260024.733  -260038.422       13.689   282.4
10.3800     -260024.785  -260038.752       13.967   288.1
10.3900     -260024.298  -260038.395       14.096   290.8
10.4000     -260024.296  -260038.352       14.056   290.0
10.4100     -260024.136  -260038.024       13.888   286.5
10.4200     -260023.033  -260037.194       14.162   292.2
10.4300     -260023.401  -260037.198       13.797   284.6
10.4400     -260023.457  -260037.575       14.118   291.3
10.4500     -260023.073  -260038.213       15.139   312.3
10.4600     -260023.103  -260036.873       13.770   284.1
10.4700     -260022.983  -260037.290       14.307   295.2
10.4800     -260022.654  -260037.046       14.392   296.9
10.4900     -260023.291  -260037.796       14.505   299.2
10.5000     -260023.020  -260037.777       14.757   304.4
10.5100     -260023.090  -260037.453       14.363   296.3
10.5200     -260023.523  -260037.522       13.999   288.8
10.5300     -260023.502  -260037.680       14.177   292.5
10.5400     -260023.501  -260037.698       14.197   292.9
10.5500     -260024.049  -260037.561       13.513   278.8
10.5600     -260023.565  -260037.024       13.458   277.7
10.5700     -260023.778  -260037.334       13.556   279.7
10.5800     -260023.687  -260036.875       13.188   272.1
10.5900     -260023.560  -260037.061       13.502   278.5
10.6000     -260023.180  -260037.187       14.007   289.0
10.6100     -260024.013  -260037.574       13.561   279.8
10.6200     -260023.661  -260037.337       13.676   282.1
10.6300     -260023.549  -260037.562       14.014   289.1
10.6400     -260024.047  -260037.920       13.873   286.2
10.6500     -260023.890  -260038.332       14.442   297.9
10.6600     -260023.449  -260038.534       15.085   311.2
10.6700     -260023.953  -260038.064       14.110   291.1
10.6800     -260023.587  -260038.774       15.186   313.3
10.6900     -260023.781  -260037.937       14.156   292.0
10.7000     -260023.550  -260038.219       14.668   302.6
10.7100     -260024.539  -260039.052       14.513   299.4
10.7200     -260023.940  -260038.700       14.759   304.5
10.7300     -260023.792  -260038.591       14.800   305.3
10.7400     -260023.607  -260038.185       14.577   300.7
10.7500     -260024.009  -260037.871       13.862   286.0
10.7600     -260024.350  -260038.306       13.956   287.9
10.7700     -260024.139  -260038.368       14.229   293.5
10.7800     -260024.391  -260038.242       13.851   285.7
10.7900     -260023.707  -260037.814       14.107   291.0
10.8000     -260024.166  -260037.937       13.771   284.1
10.8100     -260023.483  -260038.667       15.184   313.2
10.8200     -260023.689  -260038.051       14.363   296.3
10.8300     -260023.729  -260038.037       14.308   295.2
10.8400     -260023.558  -260037.499       13.941   287.6
10.8500     -260024.349  -260038.099       13.750   283.7
10.8600     -260024.357  -260038.511       14.154   292.0
10.8700     -260023.975  -260038.395       14.420   297.5
10.8800     -260023.873  -260037.845       13.973   288.3
10.8900     -260024.380  -260038.654       14.274   294.5
10.9000     -260024.782  -260038.011       13.229   272.9
10.9100     -260024.039  -260037.704       13.665   281.9
10.9200     -260023.614  -260037.060       13.446   277.4
10.9300     -260023.418  -260037.750       14.332   295.7
10.9400     -260023.304  -260037.858       14.554   300.2
10.9500     -260023.497  -260037.623       14.125   291.4
10.9600     -260023.221  -260037.528       14.307   295.2
10.9700     -260023.227  -260037.349       14.122   291.3
10.9800     -260023.291  -260037.546       14.256   294.1
10.9900     -260023.190  -260038.431       15.241   314.4
11.0000     -260024.089  -260037.941       13.852   285.8
11.0100     -260024.636  -260037.510       12.874   265.6
11.0200     -260025.010  -260038.151       13.141   271.1
11.0300     -260024.792  -260038.145       13.353   275.5
11.0400     -260025.014  -260038.950       13.937   287.5
11.0500     -260024.839  -260038.795       13.956   287.9
11.0600     -260024.483  -260038.614       14.130   291.5
11.0700     -260024.392  -260037.593       13.201   272.3
11.0800     -260024.304  -260037.943       13.640   281.4
11.0900     -260024.420  -260037.912       13.491   278.3
11.1000     -260024.528  -260037.514       12.987   267.9
11.1100     -260024.363  -260037.861       13.499   278.5
11.1200     -260024.201  -260038.543       14.342   295.9
11.1300     -260024.294  -260038.717       14.423   297.6
11.1400     -260023.805  -260037.413       13.609   280.8
11.1500     -260023.742  -260038.026       14.284   294.7
11.1600     -260023.970  -260037.781       13.811   284.9
11.1700     -260024.285  -260038.151       13.866   286.1
11.1800     -260024.787  -260038.370       13.584   280.2
11.1900     -260024.267  -260038.758       14.491   299.0
11.2000     -260023.501  -260038.126       14.625   301.7
11.2100     -260023.346  -260037.718       14.372   296.5
11.2200     -260023.281  -260038.101       14.820   305.7
11.2300     -260023.674  -260037.763       14.089   290.7
11.2400     -260023.296  -260037.236       13.940   287.6
11.2500     -260023.177  -260037.431       14.255   294.1
11.2600     -260022.828  -260037.864       15.036   310.2
11.2700     -260022.234  -260037.288       15.054   310.6
11.2800     -260022.157  -260036.459       14.302   295.1
11.2900     -260022.553  -260037.270       14.717   303.6
11.3000     -260022.578  -260038.113       15.535   320.5
11.3100     -260022.193  -260037.417       15.224   314.1
11.3200     -260022.735  -260038.265       15.530   320.4
11.3300     -260022.717  -260036.693       13.977   288.3
11.3400     -260022.509  -260037.164       14.655   302.3
11.3500     -260022.512  -260037.774       15.262   314.9
11.3600     -260022.464  -260037.484       15.020   309.9
11.3700     -260022.043  -260036.524       14.480   298.7
11.3800     -260021.907  -260037.303       15.396   317.6
11.3900     -260022.529  -260036.891       14.362   296.3
11.4000     -260022.428  -260037.125       14.698   303.2
11.4100     -260022.412  -260037.471       15.059   310.7
11.4200     -260022.635  -260036.720       14.086   290.6
11.4300     -260022.358  -260036.512       14.154   292.0
11.4400     -260021.722  -260036.043       14.320   295.4
11.4500     -260022.126  -260035.771       13.645   281.5
11.4600     -260022.066  -260036.739       14.674   302.7
11.4700     -260021.664  -260037.224       15.559   321.0
11.4800     -260021.573  -260036.886       15.313   315.9
11.4900     -260022.010  -260037.309       15.299   315.6
11.5000     -260021.847  -260037.508       15.661   323.1
11.5100     -260022.605  -260037.356       14.751   304.3
11.5200     -260021.850  -260036.955       15.104   311.6
11.5300     -260022.546  -260037.337       14.791   305.1
11.5400     -260022.215  -260037.206       14.990   309.3
11.5500     -260022.145  -260037.238       15.093   311.4
11.5600     -260022.555  -260038.627       16.072   331.6
11.5700     -260022.678  -260038.373       15.695   323.8
11.5800     -260022.139  -260036.911       14.773   304.8
11.5900     -260021.156  -260036.511       15.355   316.8
11.6000     -260021.225  -260036.825       15.600   321.8
11.6100     -260021.354  -260036.552       15.199   313.6
11.6200     -260021.638  -260036.525       14.887   307.1
11.6300     -260022.105  -260036.824       14.718   303.6
11.6400     -260022.044  -260037.407       15.363   316.9
11.6500     -260022.137  -260036.733       14.596   301.1
11.6600     -260022.172  -260036.607       14.435   297.8
11.6700     -260022.287  -260036.922       14.636   301.9
11.6800     -260021.588  -260037.524       15.937   328.8
11.6900     -260021.675  -260036.740       15.065   310.8
11.7000     -260021.469  -260036.297       14.827   305.9
11.7100     -260021.650  -260036.303       14.653   302.3
11.7200     -260022.138  -260036.902       14.764   304.6
11.7300     -260022.746  -260037.347       14.601   301.2
11.7400     -260023.112  -260037.037       13.926   287.3
11.7500     -260022.074  -260037.799       15.725   324.4
11.7600     -260022.573  -260037.917       15.343   316.5
11.7700     -260022.950  -260037.989       15.039   310.3
11.7800     -260022.896  -260037.578       14.683   302.9
11.7900     -260023.032  -260038.282       15.250   314.6
11.8000     -260023.106  -260038.564       15.458   318.9
11.8100     -260023.420  -260038.353       14.933   308.1
11.8200     -260023.152  -260037.161       14.009   289.0
11.8300     -260023.495  -260037.664       14.169   292.3
11.8400     -260023.571  -260037.652       14.081   290.5
11.8500     -260023.590  -260038.156       14.566   300.5
11.8600     -260023.551  -260037.697       14.146   291.8
11.8700     -260023.113  -260037.872       14.759   304.5
11.8800     -260022.827  -260037.162       14.335   295.7
11.8900     -260022.701  -260036.915       14.214   293.2
11.9000     -260022.914  -260037.076       14.162   292.2
11.9100     -260022.861  -260037.273       14.412   297.3
11.9200     -260022.840  -260036.546       13.705   282.7
11.9300     -260022.526  -260037.168       14.643   302.1
11.9400     -260022.004  -260036.873       14.869   306.7
11.9500     -260021.503  -260036.843       15.340   316.5
11.9600     -260022.311  -260037.053       14.743   304.1
11.9700     -260022.072  -260037.367       15.295   315.5
11.9800     -260021.851  -260037.261       15.410   317.9
11.9900     -260022.553  -260037.111       14.558   300.3
12.0000     -260022.556  -260037.351       14.795   305.2
12.0100     -260022.680  -260037.037       14.357   296.2
12.0200     -260023.203  -260037.279       14.076   290.4
12.0300     -260023.554  -260037.537       13.983   288.5
12.0400     -260023.178  -260037.692       14.514   299.4
12.0500     -260022.392  -260037.749       15.357   316.8
12.0600     -260022.791  -260037.468       14.677   302.8
12.0700     -260023.134  -260037.102       13.968   288.2
12.0800     -260023.637  -260037.599       13.962   288.0
12.0900     -260023.730  -260038.541       14.810   305.5
12.1000     -260024.244  -260038.616       14.372   296.5
12.1100     -260024.024  -260038.341       14.317   295.4
12.1200     -260024.071  -260038.721       14.650   302.2
12.1300     -260024.407  -260038.291       13.884   286.4
12.1400     -260024.229  -260038.293       14.064   290.1
12.1500     -260024.010  -260038.584       14.574   300.7
12.1600     -260023.137  -260037.472       14.335   295.7
12.1700     -260022.623  -260037.649       15.026   310.0
12.1800     -260022.757  -260037.420       14.662   302.5
12.1900     -260022.430  -260037.580       15.150   312.5
12.2000     -260021.903  -260037.408       15.504   319.9
12.2100     -260022.537  -260037.156       14.619   301.6
12.2200     -260022.864  -260037.471       14.607   301.3
12.2300     -260022.521  -260037.522       15.001   309.5
12.2400     -260022.535  -260036.341       13.807   284.8
12.2500     -260022.366  -260037.306       14.940   308.2
12.2600     -260022.430  -260037.683       15.254   314.7
12.2700     -260022.265  -260036.447       14.183   292.6
12.2800     -260022.130  -260038.293       16.162   333.4
12.2900     -260022.329  -260037.307       14.978   309.0
12.3000     -260022.672  -260037.339       14.667   302.6
12.3100     -260023.053  -260037.020       13.967   288.1
12.3200     -260022.935  -260037.427       14.492   299.0
12.3300     -260022.960  -260037.105       14.146   291.8
12.3400     -260023.463  -260037.525       14.062   290.1
12.3500     -260023.328  -260038.145       14.817   305.7
12.3600     -260022.754  -260037.912       15.157   312.7
12.3700     -260022.297  -260036.729       14.433   297.8
12.3800     -260022.096  -260036.973       14.877   306.9
12.3900     -260021.935  -260036.532       14.597   301.1
12.4000     -260022.189  -260036.815       14.626   301.7
12.4100     -260022.450  -260036.730       14.280   294.6
12.4200     -260022.200  -260036.885       14.685   303.0
12.4300     -260022.509  -260037.579       15.069   310.9
12.4400     -260023.121  -260037.852       14.732   303.9
12.4500     -260022.901  -260037.601       14.700   303.3
12.4600     -260022.663  -260037.651       14.988   309.2
12.4700     -260022.555  -260037.226       14.672   302.7
12.4800     -260023.165  -260037.307       14.142   291.7
12.4900     -260023.461  -260037.890       14.429   297.7
12.5000     -260023.206  -260037.513       14.307   295.2
12.5100     -260023.362  -260038.053       14.691   303.1
12.5200     -260023.074  -260038.074       15.000   309.5
12.5300     -260022.950  -260037.644       14.694   303.1
12.5400     -260022.917  -260037.061       14.145   291.8
12.5500     -260022.518  -260037.763       15.245   314.5
12.5600     -260022.807  -260037.099       14.291   294.8
12.5700     -260022.839  -260037.763       14.924   307.9
12.5800     -260022.979  -260037.673       14.694   303.1
12.5900     -260022.982  -260037.370       14.388   296.8
12.6000     -260022.649  -260037.450       14.800   305.3
12.6100     -260022.842  -260038.073       15.231   314.2
12.6200     -260022.497  -260037.554       15.058   310.6
12.6300     -260022.196  -260037.760       15.564   321.1
12.6400     -260022.208  -260036.961       14.753   304.4
12.6500     -260022.034  -260036.847       14.812   305.6
12.6600     -260021.825  -260037.326       15.500   319.8
12.6700     -260021.864  -260036.018       14.154   292.0
12.6800     -260021.935  -260036.169       14.234   293.6
12.6900     -260022.097  -260036.841       14.744   304.2
12.7000     -260022.147  -260036.838       14.691   303.1
12.7100     -260021.940  -260036.427       14.487   298.9
12.7200     -260021.433  -260036.382       14.949   308.4
12.7300     -260021.461  -260036.066       14.605   301.3
12.7400     -260020.453  -260035.161       14.708   303.4
12.7500     -260020.689  -260034.941       14.253   294.0
12.7600     -260020.802  -260036.099       15.297   315.6
12.7700     -260020.589  -260035.063       14.474   298.6
12.7800     -260020.826  -260034.850       14.023   289.3
12.7900     -260021.109  -260035.029       13.920   287.2
12.8000     -260021.316  -260035.586       14.270   294.4
12.8100     -260021.262  -260035.710       14.448   298.1
12.8200     -260021.179  -260036.112       14.933   308.1
12.8300     -260021.543  -260036.797       15.254   314.7
12.8400     -260021.891  -260036.816       14.925   307.9
12.8500     -260021.420  -260035.782       14.362   296.3
12.8600     -260020.892  -260036.786       15.895   327.9
12.8700     -260021.562  -260037.055       15.493   319.6
12.8800     -260021.918  -260036.639       14.721   303.7
12.8900     -260021.544  -260036.754       15.210   313.8
12.9000     -260021.566  -260035.590       14.024   289.3
12.9100     -260021.354  -260036.533       15.179   313.1
12.9200     -260021.448  -260036.066       14.618   301.6
12.9300     -260021.347  -260035.795       14.448   298.1
12.9400     -260021.081  -260035.411       14.331   295.6
12.9500     -260021.404  -260035.498       14.094   290.8
12.9600     -260021.353  -260036.323       14.969   308.8
12.9700     -260021.776  -260036.465       14.690   303.1
12.9800     -260021.349  -260036.303       14.954   308.5
12.9900     -260021.665  -260035.797       14.131   291.5
13.0000     -260022.037  -260035.863       13.825   285.2
13.0100     -260021.976  -260035.333       13.357   275.5
13.0200     -260021.865  -260035.536       13.671   282.0
13.0300     -260021.453  -260035.807       14.354   296.1
13.0400     -260021.321  -260035.303       13.982   288.5
13.0500     -260021.591  -260036.894       15.302   315.7
13.0600     -260021.606  -260036.626       15.020   309.9
13.0700     -260022.085  -260036.348       14.263   294.3
13.0800     -260021.745  -260035.703       13.958   287.9
13.0900     -260021.650  -260035.667       14.016   289.2
13.1000     -260021.119  -260035.227       14.108   291.0
13.1100     -260020.716  -260035.497       14.781   304.9
13.1200     -260020.677  -260036.122       15.445   318.6
13.1300     -260020.662  -260035.725       15.063   310.8
13.1400     -260020.533  -260036.405       15.872   327.4
13.1500     -260020.876  -260035.349       14.473   298.6
13.1600     -260020.519  -260036.288       15.768   325.3
13.1700     -260021.012  -260034.977       13.965   288.1
13.1800     -260020.675  -260035.456       14.781   304.9
13.1900     -260020.589  -260035.619       15.030   310.1
13.2000     -260020.684  -260036.220       15.536   320.5
13.2100     -260020.302  -260034.741       14.438   297.9
13.2200     -260020.285  -260035.460       15.175   313.1
13.2300     -260020.584  -260036.170       15.586   321.5
13.2400     -260020.604  -260036.054       15.450   318.7
13.2500     -260020.495  -260035.772       15.277   315.2
13.2600     -260020.656  -260035.310       14.654   302.3
13.2700     -260020.806  -260035.464       14.658   302.4
13.2800     -260020.897  -260035.841       14.944   308.3
13.2900     -260020.894  -260036.123       15.230   314.2
13.3000     -260020.956  -260035.958       15.001   309.5
13.3100     -260021.040  -260035.483       14.443   298.0
13.3200     -260020.887  -260035.895       15.009   309.6
13.3300     -260020.627  -260036.009       15.381   317.3
13.3400     -260020.767  -260036.385       15.619   322.2
13.3500     -260020.753  -260036.500       15.747   324.9
13.3600     -260020.866  -260035.172       14.306   295.1
13.3700     -260021.480  -260035.109       13.629   281.2
13.3800     -260021.359  -260036.669       15.311   315.9
13.3900     -260021.941  -260036.922       14.981   309.1
13.4000     -260021.783  -260036.547       14.764   304.6
13.4100     -260021.826  -260036.035       14.209   293.1
13.4200     -260021.218  -260035.777       14.559   300.4
13.4300     -260020.712  -260036.432       15.720   324.3
13.4400     -260021.343  -260036.367       15.025   310.0
13.4500     -260021.744  -260036.617       14.873   306.8
13.4600     -260021.276  -260035.839       14.563   300.4
13.4700     -260021.122  -260035.917       14.795   305.2
13.4800     -260021.166  -260036.726       15.559   321.0
13.4900     -260020.857  -260036.252       15.395   317.6
13.5000     -260020.753  -260035.650       14.897   307.3
13.5100     -260020.742  -260036.048       15.306   315.8
13.5200     -260020.999  -260036.113       15.114   311.8
13.5300     -260021.013  -260036.174       15.161   312.8
13.5400     -260020.936  -260036.592       15.655   323.0
13.5500     -260021.252  -260036.494       15.242   314.5
13.5600     -260021.564  -260036.979       15.415   318.0
13.5700     -260021.430  -260036.167       14.737   304.0
13.5800     -260021.404  -260035.699       14.295   294.9
13.5900     -260021.370  -260036.694       15.323   316.1
13.6000     -260022.286  -260036.574       14.288   294.8
13.6100     -260021.808  -260036.541       14.733   303.9
13.6200     -260021.789  -260036.277       14.488   298.9
13.6300     -260022.338  -260036.619       14.280   294.6
13.6400     -260022.955  -260036.830       13.875   286.2
13.6500     -260022.916  -260036.963       14.046   289.8
13.6600     -260023.156  -260037.661       14.505   299.2
13.6700     -260023.325  -260038.100       14.775   304.8
13.6800     -260022.837  -260037.194       14.357   296.2
13.6900     -260022.940  -260037.268       14.328   295.6
13.7000     -260023.632  -260037.812       14.180   292.5
13.7100     -260023.406  -260038.014       14.608   301.4
13.7200     -260023.107  -260038.440       15.333   316.3
13.7300     -260022.887  -260038.049       15.162   312.8
13.7400     -260022.951  -260037.937       14.986   309.2
13.7500     -260022.820  -260036.922       14.102   290.9
13.7600     -260022.967  -260038.055       15.088   311.3
13.7700     -260022.658  -260037.085       14.427   297.6
13.7800     -260022.708  -260036.946       14.238   293.7
13.7900     -260022.863  -260038.417       15.554   320.9
13.8000     -260023.227  -260037.808       14.581   300.8
13.8100     -260023.659  -260038.627       14.967   308.8
13.8200     -260023.831  -260038.157       14.326   295.5
13.8300     -260024.373  -260038.812       14.439   297.9
13.8400     -260024.368  -260039.014       14.645   302.1
13.8500     -260024.293  -260039.052       14.758   304.5
13.8600     -260024.877  -260038.773       13.896   286.7
13.8700     -260025.214  -260038.891       13.676   282.1
13.8800     -260025.286  -260039.113       13.827   285.3
13.8900     -260025.419  -260038.696       13.278   273.9
13.9000     -260025.193  -260039.211       14.019   289.2
13.9100     -260024.869  -260039.131       14.262   294.2
13.9200     -260024.694  -260038.956       14.262   294.2
13.9300     -260024.233  -260038.925       14.693   303.1
13.9400     -260023.459  -260038.068       14.609   301.4
13.9500     -260023.382  -260038.460       15.078   311.1
13.9600     -260023.304  -260038.025       14.721   303.7
13.9700     -260023.064  -260038.106       15.042   310.3
13.9800     -260023.250  -260038.114       14.864   306.6
13.9900     -260022.741  -260037.317       14.576   300.7
14.0000     -260022.351  -260037.546       15.195   313.5
14.0100     -260022.689  -260036.771       14.082   290.5
14.0200     -260022.607  -260037.779       15.172   313.0
14.0300     -260022.740  -260037.694       14.954   308.5
14.0400     -260023.212  -260036.707       13.495   278.4
14.0500     -260023.041  -260037.301       14.260   294.2
14.0600     -260022.713  -260036.840       14.127   291.4
14.0700     -260023.165  -260036.830       13.665   281.9
14.0800     -260022.677  -260036.744       14.067   290.2
14.0900     -260022.320  -260037.136       14.817   305.7
14.1000     -260022.776  -260037.305       14.529   299.7
14.1100     -260023.313  -260037.313       14.000   288.8
14.1200     -260023.254  -260037.798       14.544   300.1
14.1300     -260022.858  -260037.825       14.967   308.8
14.1400     -260022.618  -260037.944       15.326   316.2
14.1500     -260023.117  -260037.689       14.573   300.6
14.1600     -260022.641  -260037.060       14.419   297.5
14.1700     -260022.666  -260037.005       14.339   295.8
14.1800     -260023.048  -260036.948       13.900   286.8
14.1900     -260022.978  -260037.124       14.146   291.8
14.2000     -260023.181  -260036.856       13.676   282.1
14.2100     -260023.461  -260037.809       14.348   296.0
14.2200     -260023.494  -260037.267       13.773   284.1
14.2300     -260022.941  -260037.448       14.508   299.3
14.2400     -260022.525  -260037.180       14.655   302.3
14.2500     -260022.378  -260036.975       14.597   301.1
14.2600     -260022.438  -260036.921       14.483   298.8
14.2700     -260022.528  -260037.203       14.675   302.7
14.2800     -260022.870  -260037.084       14.215   293.3
14.2900     -260022.876  -260037.722       14.846   306.3
14.3000     -260022.972  -260036.986       14.014   289.1
14.3100     -260023.123  -260037.240       14.117   291.2
14.3200     -260023.799  -260037.964       14.166   292.2
14.3300     -260023.603  -260038.123       14.520   299.6
14.3400     -260023.150  -260038.777       15.626   322.4
14.3500     -260023.278  -260037.710       14.432   297.7
14.3600     -260022.541  -260037.316       14.775   304.8
14.3700     -260022.617  -260037.319       14.702   303.3
14.3800     -260022.970  -260036.886       13.915   287.1
14.3900     -260023.179  -260037.567       14.388   296.8
14.4000     -260022.785  -260038.020       15.235   314.3
14.4100     -260022.482  -260037.478       14.996   309.4
14.4200     -260023.038  -260037.438       14.400   297.1
14.4300     -260023.109  -260036.760       13.651   281.6
14.4400     -260022.648  -260037.744       15.096   311.4
14.4500     -260023.501  -260036.835       13.333   275.1
14.4600     -260023.005  -260037.291       14.286   294.7
14.4700     -260022.701  -260037.145       14.444   298.0
14.4800     -260023.212  -260037.839       14.627   301.8
14.4900     -260023.118  -260037.685       14.566   300.5
14.5000     -260023.801  -260038.030       14.229   293.5
14.5100     -260024.109  -260037.839       13.730   283.2
14.5200     -260023.784  -260038.588       14.804   305.4
14.5300     -260023.975  -260038.366       14.391   296.9
