baseline_threads,cell_A,d4_ms,d4_std_ms,disp3_cutoff_A,efficiency_pct,mode,n_atoms,n_mol,omp_max_threads,p_atm_bar,speedup,threads
8,12.429633119082435,9205.555244523566,10.898224485572428,None,100.0,threads,192,64,None,626.5306340459484,1.0,8
8,12.429633119082435,5144.034503551666,2.9516685171984136,None,89.47796946314853,threads,192,64,None,626.5306340459621,1.7895593892629704,16
8,12.429633119082435,2921.056646038778,1.5593109419569373,None,78.78617534691725,threads,192,64,None,626.530634045954,3.1514470138766897,32
8,12.429633119082435,1944.5959305739962,28.674413508269936,None,59.17395935441403,threads,192,64,None,626.5306340459604,4.733916748353122,64
8,12.429633119082435,2165.569412522018,62.83742655068636,None,26.567940951505896,threads,192,64,None,626.5306340459557,4.250870552240944,128
