cell_A,d4_ms,d4_std_ms,disp3_cutoff_A,mode,n_atoms,n_mol,uma_ms,uma_std_ms
9.322224839311827,72.97867559827864,0.9148248236988727,12.0,size,81,27,32.10442441049963,0.22875832640626448
12.429633119082435,144.7816576110199,0.20908329848005955,12.0,size,192,64,51.730106375180185,2.113920148803165
15.537041398853043,389.8951955838129,2.6168298467726148,12.0,size,375,125,87.43060200940818,0.9204742256902935
18.64444967862365,1040.1786876376718,4.438459556727375,12.0,size,648,216,139.5012556342408,0.19553785148377123
